CallingNumber,CalledNumber,CallDate,Day,CallTime,CallDuration,CallerCity,CallerPostCode,CallerSurname,CallerForename,CalledCity,CalledPostCode,CalledSurname,CalledForename
325387000000,325226000000,4/2/2016,7,4:53:09 AM,18:00,Brussels,1082,BELK,NELANBEN,Stockholm,112 57,CLARK,LISA
325229000000,325226000000,2/6/2017,2,5:20:21 PM,27:00:00,Brussels,1083,TAGGLIONE,VAAGEESH,Lyon,69005,DREW,LACEY
325254000000,325226000000,4/4/2017,3,12:36:34 PM,39:00:00,Brussels,1110,BETERIDGE,CLEMENTINE,Moscow,123100,SHELTON,LISA
325250000000,325227000000,1/11/2016,2,10:36:25 AM,26:00:00,Brussels,1040,DILANTONIO,TEMEEL,Frankfurt,60316,HALL,LACEY
325203000000,325227000000,5/31/2016,3,9:19:17 AM,16:00,Brussels,1040,AH-DAMEYER,OLUBBUNMNI,Oslo,184,WHEELER,YASIN
325206000000,325227000000,6/6/2016,2,2:28:28 PM,45:00:00,Brussels,1000,CLOWWERS,TEMEEL,Prague,128 00,MULLINS,ZAKARIA
325268000000,325227000000,2/14/2017,3,11:58:51 AM,3:00,Brussels,1000,CLOWWERS,TEMEEL,Oslo,150,ROGERS,HARRY
325262000000,325227000000,9/16/2016,6,12:33:36 AM,43:00:00,Brussels,1170,SLAINE,IHRIG,Lyon,69005,HALL,LISA
325279000000,325227000000,10/17/2016,2,2:46:33 AM,27:00:00,Brussels,1000,CLOWWERS,TEMEEL,Birmingham,B5 4RT,DREW,HARRY
325217000000,325227000000,11/12/2017,1,1:23:42 PM,10:00,Brussels,1000,CLOWWERS,TEMEEL,Turin,10121,ROGERS,HARRY
325219000000,325227000000,3/26/2017,1,12:49:20 PM,7:00,Brussels,1000,MATHIA,STETTAO,Stockholm,113 53,SHELTON,YASIN
325244000000,325227000000,11/12/2016,7,4:51:40 AM,27:00:00,Brussels,1083,COLBOURN,NEBIYU,Prague,128 00,LAWRENCE,LISA
325240000000,325227000000,3/4/2016,6,6:09:00 PM,58:00:00,Brussels,1083,LANGELIER,RANJANBEN,Birmingham,B5 4RT,BIRD,LISA
325293000000,325227000000,7/22/2016,6,11:58:02 PM,41:00:00,Brussels,1044,KNIL,QULLOM,Frankfurt,60313,HALL,LACEY
325296000000,325227000000,2/26/2017,1,1:54:41 PM,5:00,Brussels,1120,BIDDICK,VEADA,Stockholm,111 29,SHELTON,LACEY
325238000000,325227000000,12/16/2017,7,2:03:57 AM,3:00,Brussels,1000,DURROWS,SANTOCK,Stockholm,114 60,HALL,HARRY
325232000000,325227000000,2/20/2017,2,6:15:26 PM,41:00:00,Brussels,1000,KARAMIDDAS,AMANDRET,Prague,128 00,WHEELER,FELIX
325289000000,325227000000,3/29/2017,4,4:06:33 AM,29:00:00,Brussels,1000,AUTON,AMRITAPAL,Birmingham,B5 5TR,WEAVER,HASAN
325527000000,325227000000,8/1/2016,2,6:35:55 PM,19:00,Brussels,1000,NAGUYEN,IHRIG,Birmingham,B2 4BJ,BIRD,KYE
325529000000,325227000000,10/22/2016,7,2:34:25 PM,35:00:00,Brussels,1150,SAGOMBA,YIUMAN,Moscow,103274,ROGERS,ANISA
325554000000,325227000000,11/24/2016,5,11:53:15 PM,53:00:00,Brussels,1083,MC'KEIN,ZAMAAR,Stockholm,113 53,ARMSTRONG,LACEY
325550000000,325227000000,5/30/2017,3,4:06:55 AM,6:00,Brussels,1083,ALLCARAZ,JUBEDA,Riga,1004,CLARK,SYLVIA
325503000000,325227000000,1/19/2017,5,11:34:04 PM,23:00,Brussels,1200,CADDENASS,ISAH,Prague,128 00,DOYLE,ESME
325506000000,325227000000,6/24/2016,6,9:31:18 AM,9:00,Brussels,1083,FADIYA,VEKERIYA,Oslo,10,ROGERS,FRANKIE
325568000000,325227000000,4/21/2016,5,11:54:36 AM,29:00:00,Brussels,1083,LAWLAR,CRETOL,Turin,10138,GRAHAM,SPENCER
